Institution,Degree,Title_Of_Certification,Worker_ID
University of Lagos,Master's Degree,Nursing Doctorate,91
University of Ghana,Doctorate,Physical Therapy Doctorate,92
University of Cape Town,Bachelor's Degree,Occupational Therapy Certification,93
University of Nairobi,Master's Degree,Home Health Aide Certification,94
University of Lagos,Doctorate,Speech-Language Pathology Doctorate,95
University of Ghana,Bachelor's Degree,Medical Assistant Certification,96
University of Cape Town,Master's Degree,Physical Therapy Doctorate,97
University of Nairobi,Doctorate,Occupational Therapy Doctorate,98
University of Lagos,Bachelor's Degree,Home Health Aide Certification,99
University of Ghana,Master's Degree,Speech-Language Pathology Doctorate,100
